Keyphrase,Site-Search Results,Site-Search Top Position,Site-Search Top URL,Ahrefs Volume (US),Global Volume,Keyword Difficulty,CPC (USD),Clicks,Traffic Potential,Parent Topic,Ahrefs Data
spanish,20,1,https://spanish.arizona.edu/,205000,373000,71,0.2,75798,65000,spanish,yes
concur,20,1,https://compass.arizona.edu/accessing-sap-concur-mobile-app,204000,351000,54,2.5,132504,161000,concur,yes
forms,20,1,https://education.arizona.edu/uarizona-psychology-internship-consortium-forms,201000,1390000,85,0.6,20106,98000,google forms,yes
summer,20,1,https://theacenter.arizona.edu/events/339-summer-engagement-opportunities,194000,465000,39,0.15,56253,20000,summer,yes
travel,20,1,https://research.arizona.edu/administration/build-budget/budget-categories/travel,193000,591000,93,0.5,98419,2020000,flights,yes
architecture,20,1,https://caem.engineering.arizona.edu/,191000,546000,65,0.25,47704,15000,architecture,yes
biology,20,1,https://eeb.arizona.edu/undergraduate/majors-minors/bs-biology-organismal-biology,191000,509000,66,0.2,51443,12000,biology,yes
pharmacy,20,1,https://www.pharmacy.arizona.edu/,185000,548000,82,0.5,48130,14000,pharmacy,yes
address,20,1,https://registrar.arizona.edu/types-addresses-and-how-change-your-address,182000,548000,22,0.15,63612,43000,address,yes
portal,20,1,https://studentcenter.arizona.edu/app/ui/public/select-campus,178000,653000,73,0.15,105267,104000,portal,yes
english,20,1,https://english.arizona.edu/,167000,1570000,87,0.25,45169,17000,english,yes
physics,20,1,https://science.arizona.edu/,167000,576000,90,0.6,58546,15000,physics,yes
location,20,1,https://west.arizona.edu/about/location,166000,613000,68,0.4,68240,287000,my location,yes
chemistry,20,1,https://science.arizona.edu/,164000,576000,76,0.45,52580,11000,chemistry,yes
edge,20,1,https://edgelearning.arizona.edu/host-your-training-edge,162000,812000,81,1.9,64824,700,what is microsoft edge,yes
duo,20,1,https://guitar.arizona.edu/events/73-duo-villa-lobos,161000,564000,76,1.9,48433,64000,duo,yes
physiology,20,1,https://physiology.arizona.edu/,157000,286000,58,0.45,28240,5800,physiology,yes
physical therapy,20,1,https://caps.arizona.edu/,156000,197000,36,1.5,52882,400,phoenix physical therapy,yes
computer science,20,1,https://cs.arizona.edu/,155000,389000,56,3.0,63382,44000,computer science,yes
salt,20,1,https://salt.arizona.edu/events/taste-salt,151000,587000,59,0.25,49760,31000,salt,yes
financial aid,20,1,https://financialaid.arizona.edu/apply-for-aid,147000,166000,12,3.0,108483,584000,financial aid,yes
student portal,20,1,https://nursing.arizona.edu/resources/d2l,145000,714000,50,1.3,146732,110000,student portal,yes
payroll,20,1,https://physiology.arizona.edu/human-resources-and-payroll-information,145000,450000,82,0.5,62200,24000,payroll,yes
accounting,20,1,https://www.arizona.edu/degree-search/majors/accounting-bsba,143000,364000,82,0.6,55921,9900,accounting,yes
astronomy,20,1,https://science.arizona.edu/,143000,300000,74,0.15,58594,27000,astronomy,yes
library,20,1,https://www.arizona.edu/libraries,142000,427000,5,0.25,62516,15000,public library,yes
copper,20,1,https://superfund.arizona.edu/resources/learning-modules-english/copper-mining-and-processing,140000,414000,76,0.25,37879,26000,copper,yes
agriculture,20,1,https://aaec.arizona.edu/,136000,516000,85,0.5,30000,7300,agriculture,yes
job,20,1,https://talent.arizona.edu/,135000,592000,1,0.2,70171,329000,government jobs,yes
Llm,20,1,https://law.arizona.edu/academics/degrees/master-laws-llm-degree,133000,600000,80,1.5,50418,43000,large language models,yes
logo,20,1,https://marcom.arizona.edu/home,132000,1920000,89,0.2,58018,82000,logo maker,yes
crna,20,1,https://nursing.arizona.edu/events/crna-applications-open-summer-27,130000,157000,24,1.1,41487,47000,crna,yes
marketing,20,1,https://www.arizona.edu/degree-search/majors/marketing,128000,813000,76,0.45,57461,12000,marketing,yes
career,20,1,https://talent.arizona.edu/,113000,348000,61,0.4,32720,246000,jobs hiring,yes
coding,20,1,https://ce.arizona.edu/classes/coding-boot-camp,113000,379000,54,1.9,67889,142000,coding,yes
engineering,20,1,https://engineering.arizona.edu/index,113000,352000,64,1.2,36206,12000,engineering,yes
phd,20,1,https://philosophy.arizona.edu/phd-philosophy/requirements,112000,454000,55,3.0,29022,15000,phd,yes
graduation,20,1,https://commencement.arizona.edu/,112000,340000,33,0.45,25874,23000,graduation,yes
retirement,20,1,https://it.arizona.edu/news/cio-brummund-retire,111000,266000,71,0.3,60051,25000,retirement,yes
qualtrics,20,1,https://uarizona.service-now.com/sp?id=sc_cat_item&sys_id=4287c3be1bd7e410e03754a51a4bcbe7,109000,242000,22,3.5,92564,73000,qualtrics,yes
education,20,1,https://education.arizona.edu/,107000,669000,95,1.0,38417,67000,us department of education,yes
fashion,20,1,https://marketing.humanities.arizona.edu/events/thf-fashion-show,105000,569000,79,0.15,45153,2250000,fashion nova,yes
foundation,20,1,https://uafoundation.org/faculty-staff-resources/foundation-relations,105000,462000,36,0.25,29300,61000,foundation,yes
procurement,20,1,https://rdibc.arizona.edu/content/procurement,103000,340000,12,1.0,22559,5600,procurement,yes
contact,20,1,https://snsw.arizona.edu/about/contact,99000,323000,80,3.0,44537,58000,contacts,yes
events,20,1,https://ucatt.arizona.edu/events/events-calendar,99000,200000,54,0.25,55466,223000,events today,yes
login,20,1,https://news.arizona.edu/uannounce/netid-required-students-sept-24-oct-8,99000,774000,91,0.2,60278,58000,login,yes
geology,20,1,https://geo.arizona.edu/,98000,195000,57,0.15,27360,3900,geology,yes
international,20,1,https://international-admissions.arizona.edu/,96000,288000,48,0.9,21114,29000,international,yes
french,20,1,https://french.arizona.edu/,95000,329000,67,0.3,20043,9300,french language,yes
human resources,20,1,https://hr.arizona.edu/,93000,257000,61,6.0,32720,24000,jobs hiring,yes
research,20,1,https://www.arizona.edu/admissions/student-stories/breaking-misconceptions-about-research,91000,370000,76,0.8,22818,18000,research,yes
benefits,20,1,https://hr.arizona.edu/,90000,234000,79,0.5,33153,150000,mybenefits,yes
president,20,1,https://president.arizona.edu/news/suresh-garimella-be-23rd-university-arizona-president-0,88000,183000,82,0.6,22937,27000,president,yes
trellis,20,1,https://trellis.arizona.edu/events/163-trellis-overview,87000,168000,6,0.25,32082,6700,garden trellis,yes
nutrition,20,1,https://snsw.arizona.edu/,85000,280000,92,0.7,30615,17000,nutrition,yes
per diem,20,1,https://medicine.arizona.edu/emergencymed/diem-faculty,84000,121000,21,0.07,33572,40000,per diem rates,yes
online,20,1,https://online.arizona.edu/,82000,693000,43,0.45,40056,11000,online,yes
gpa,20,1,https://registrar.arizona.edu/records-enrollment/enrollment/grades/grades-and-grade-point-average-gpa-calculation,79000,467000,43,0.08,47152,671000,gpa calculator,yes
military,20,1,https://wildcatbn.arizona.edu/military,77000,154000,90,2.0,20819,7600,military,yes
cost,20,1,https://www.arizona.edu/admissions/cost,75000,231000,71,0.9,20160,29000,costco stock,yes
